record_id,crop_name,year,month,farm_location,region_type,area_size,actual_yield_tons,quantity_sold_kg,unit_price_jod,total_sales_jod
58444,radish,2021,April,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2012,871.8666666666666
58445,radish,2021,May,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.21819999999999998,945.5333333333332
58446,radish,2021,May,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.21819999999999998,945.5333333333332
58447,radish,2021,May,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1679,727.5666666666666
58448,radish,2021,May,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1679,727.5666666666666
58449,radish,2021,June,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2017,874.0333333333332
58450,radish,2021,June,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2017,874.0333333333332
58451,radish,2021,June,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1425,617.4999999999999
58452,radish,2021,June,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1425,617.4999999999999
58453,radish,2021,July,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2044,885.7333333333332
58454,radish,2021,July,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2044,885.7333333333332
58455,radish,2021,July,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1428,618.8
58456,radish,2021,July,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1428,618.8
58457,radish,2021,August,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.22640000000000002,981.0666666666667
58458,radish,2021,August,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.22640000000000002,981.0666666666667
58459,radish,2021,August,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1646,713.2666666666667
58460,radish,2021,August,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1646,713.2666666666667
58461,radish,2021,September,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.332,1438.6666666666667
58462,radish,2021,September,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.332,1438.6666666666667
58463,radish,2021,September,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2661,1153.1
58464,radish,2021,September,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2661,1153.1
58465,radish,2021,October,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2343,1015.3
58466,radish,2021,October,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2343,1015.3
58467,radish,2021,October,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1799,779.5666666666666
58468,radish,2021,October,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1799,779.5666666666666
58469,radish,2021,November,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1985,860.1666666666666
